epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,158.484,1.01374,0.72928,0.91991,0.03,1,0.99149,0.62373,1.12521,2.43587,0.90968,0.00024112,0.00024112,0.00024112
46,161.24,1.08104,0.71829,0.91938,0.03,1,0.99149,0.62373,1.12521,2.43587,0.90968,0.00023175,0.00023175,0.00023175
47,164.026,1.03572,0.69999,0.85456,0.03,1,0.99149,0.61187,1.1747,2.39281,0.92299,0.00022172,0.00022172,0.00022172
48,166.605,1.0919,0.74317,0.86853,0.03,1,0.99149,0.61187,1.1747,2.39281,0.92299,0.00021103,0.00021103,0.00021103
49,169.701,1.13181,0.72258,0.9784,0.0365,1,0.99203,0.64617,1.14413,2.33073,0.91789,0.00019968,0.00019968,0.00019968
50,173.448,1.03894,0.70106,0.90299,0.0365,1,0.99203,0.64617,1.14413,2.33073,0.91789,0.00018767,0.00018767,0.00018767
51,177.49,0.99558,0.87831,0.92668,0.08884,1,0.99284,0.6635,1.07664,2.26009,0.90969,0.000175,0.000175,0.000175
52,182.839,1.04915,0.84745,0.93357,0.08884,1,0.99284,0.6635,1.07664,2.26009,0.90969,0.00016167,0.00016167,0.00016167
53,187.197,1.17874,1.12659,0.89933,0.08884,1,0.99284,0.6635,1.07664,2.26009,0.90969,0.00014768,0.00014768,0.00014768
54,191.34,1.04611,0.9395,0.89832,1,0.87772,0.99365,0.68482,1.02359,2.17626,0.90252,0.00013303,0.00013303,0.00013303
55,195.015,0.98989,0.80304,0.92402,1,0.87772,0.99365,0.68482,1.02359,2.17626,0.90252,0.00011772,0.00011772,0.00011772
56,198.498,1.01269,0.8834,0.89218,1,0.87772,0.99365,0.68482,1.02359,2.17626,0.90252,0.00010175,0.00010175,0.00010175
57,202.174,1.035,0.81238,0.90182,1,0.49731,0.99365,0.70155,0.98494,2.10097,0.89599,8.512e-05,8.512e-05,8.512e-05
58,205.269,1.06822,0.84389,0.91655,1,0.49731,0.99365,0.70155,0.98494,2.10097,0.89599,6.783e-05,6.783e-05,6.783e-05
59,207.862,0.9168,0.69937,0.9252,1,0.49731,0.99365,0.70155,0.98494,2.10097,0.89599,4.988e-05,4.988e-05,4.988e-05
60,210.384,0.94033,0.7517,0.92906,1,0.26991,0.99365,0.7101,0.97323,2.0229,0.89581,3.127e-05,3.127e-05,3.127e-05
